Time (sec),Channel A,Channel B
,1,
,1,1
,1,1
,1,1
,1,1
,1,1
,,1
,,1
,,1
,,1
,,1
,,1
,,1
,,
,,
,,
,,
,,
,,
,1,
.0001,1,
.0001,1,
.0001,1,
.0001,1,
.0001,1,
.0001,1,1
.0001,1,1
.0001,1,1
.0001,1,1
.0001,1,1
.0001,,1
.0001,,1
.0001,,1
.0001,,1
.0001,,1
.0001,,1
.0001,,1
.0001,,
.0001,,
.0001,,
.0001,,
.0001,,
.0001,1,
.0001,1,
.0001,1,
.0001,1,
.0001,1,
.0001,1,
.0001,1,1
.0001,1,1
.0001,1,1
.0001,1,1
.0001,1,1
.0001,1,1
.0001,,1
.0001,,1
.0001,,1
.0001,,1
.0001,,1
.0001,,1
.0002,,
.0002,,
.0002,,
.0002,,
.0002,,
.0002,,
.0002,1,
.0002,1,
.0002,1,
.0002,1,
.0002,1,
.0002,1,
.0002,1,1
.0002,1,1
.0002,1,1
.0002,1,1
.0002,1,1
.0002,1,1
.0002,,1
.0002,,1
.0002,,1
.0002,,1
.0002,,1
.0002,,1
.0002,,
.0002,,
.0002,,
.0002,,
.0002,,
.0002,,
.0002,1,
.0002,1,
.0002,1,
.0002,1,
.0002,1,
.0002,1,
.0002,1,1
.0002,1,1
.0002,1,1
.0002,1,1
.0003,1,1
.0003,,1
.0003,,1
.0003,,1
.0003,,1
.0003,,1
.0003,,1
.0003,,1
.0003,,
.0003,,
.0003,,
.0003,,
.0003,,
.0003,1,
.0003,1,
.0003,1,
.0003,1,
.0003,1,
.0003,1,
.0003,1,
.0003,1,1
.0003,1,1
.0003,1,1
.0003,1,1
.0003,1,1
.0003,,1
.0003,,1
.0003,,1
.0003,,1
.0003,,1
.0003,,1
.0003,,1
.0003,,
.0003,,
.0003,,
.0003,,
.0003,,
.0003,1,
.0003,1,
.0003,1,
.0004,1,
.0004,1,
.0004,1,
.0004,1,1
.0004,1,1
.0004,1,1
.0004,1,1
.0004,1,1
.0004,1,1
.0004,,1
.0004,,1
.0004,,1
.0004,,1
.0004,,1
.0004,,1
.0004,,
.0004,,
.0004,,
.0004,,
.0004,,
.0004,,
.0004,1,
.0004,1,
.0004,1,
.0004,1,
.0004,1,
.0004,1,
.0004,1,1
.0004,1,1
.0004,1,1
.0004,1,1
.0004,1,1
.0004,1,1
.0004,,1
.0004,,1
.0004,,1
.0004,,1
.0004,,1
.0004,,1
.0004,,
.0005,,
.0005,,
.0005,,
.0005,,
.0005,,
.0005,1,
.0005,1,
.0005,1,
.0005,1,
.0005,1,
.0005,1,
.0005,1,1
.0005,1,1
.0005,1,1
.0005,1,1
.0005,1,1
.0005,,1
.0005,,1
.0005,,1
.0005,,1
.0005,,1
.0005,,1
.0005,,1
.0005,,
.0005,,
.0005,,
.0005,,
.0005,,
.0005,1,
.0005,1,
.0005,1,
.0005,1,
.0005,1,
.0005,1,
.0005,1,
.0005,1,1
.0005,1,1
.0005,1,1
.0005,1,1
.0005,1,1
.0006,,1
.0006,,1
.0006,,1
.0006,,1
.0006,,1
.0006,,1
.0006,,
.0006,,
.0006,,
.0006,,
.0006,,
.0006,,
.0006,1,
.0006,1,
.0006,1,
.0006,1,
.0006,1,
.0006,1,
.0006,1,1
.0006,1,1
.0006,1,1
.0006,1,1
.0006,1,1
.0006,1,1
.0006,,1
.0006,,1
.0006,,1
.0006,,1
.0006,,1
.0006,,1
.0006,,
.0006,,
.0006,,
.0006,,
.0006,,
.0006,,
.0006,1,
.0006,1,
.0006,1,
.0006,1,
.0007,1,
.0007,1,
.0007,1,1
.0007,1,1
.0007,1,1
.0007,1,1
.0007,1,1
.0007,,1
.0007,,1
.0007,,1
.0007,,1
.0007,,1
.0007,,1
.0007,,1
.0007,,
.0007,,
.0007,,
.0007,,
.0007,,
.0007,1,
.0007,1,
.0007,1,
.0007,1,
.0007,1,
.0007,1,
.0007,1,
.0007,1,1
.0007,1,1
.0007,1,1
.0007,1,1
.0007,1,1
.0007,,1
.0007,,1
.0007,,1
.0007,,1
.0007,,1
.0007,,1
.0007,,1
.0007,,
.0007,,
.0008,,
.0008,,
.0008,,
.0008,1,
.0008,1,
.0008,1,
.0008,1,
.0008,1,
.0008,1,
.0008,1,1
.0008,1,1
.0008,1,1
.0008,1,1
.0008,1,1
.0008,1,1
.0008,,1
.0008,,1
.0008,,1
.0008,,1
.0008,,1
.0008,,1
.0008,,
.0008,,
.0008,,
.0008,,
.0008,,
.0008,,
.0008,1,
.0008,1,
.0008,1,
.0008,1,
.0008,1,
.0008,1,
.0008,1,1
.0008,1,1
.0008,1,1
.0008,1,1
.0008,1,1
.0008,1,1
.0008,,1
.0009,,1
.0009,,1
.0009,,1
.0009,,1
.0009,,1
.0009,,
.0009,,
.0009,,
.0009,,
.0009,,
.0009,,
.0009,1,
.0009,1,
.0009,1,
.0009,1,
.0009,1,
.0009,1,
.0009,1,1
.0009,1,1
.0009,1,1
.0009,1,1
.0009,1,1
.0009,,1
.0009,,1
.0009,,1
.0009,,1
.0009,,1
.0009,,1
.0009,,1
.0009,,
.0009,,
.0009,,
.0009,,
.0009,,
.0009,1,
.0009,1,
.0009,1,
.0009,1,
.0009,1,
.0009,1,
.001,1,
.001,1,1
.001,1,1
.001,1,1
.001,1,1
.001,1,1
.001,,1
.001,,1
.001,,1
.001,,1
.001,,1
.001,,1
.001,,
.001,,
.001,,
.001,,
.001,,
.001,,
.001,1,
.001,1,
.001,1,
.001,1,
.001,1,
.001,1,
.001,1,1
.001,1,1
.001,1,1
.001,1,1
.001,1,1
.001,1,1
.001,,1
.001,,1
.001,,1
.001,,1
.001,,1
.001,,1
.001,,
.001,,
.001,,
.001,,
.0011,,
.0011,,
.0011,1,
.0011,1,
.0011,1,
.0011,1,
.0011,1,
.0011,1,
.0011,1,1
.0011,1,1
.0011,1,1
.0011,1,1
.0011,1,1
.0011,,1
.0011,,1
.0011,,1
.0011,,1
.0011,,1
.0011,,1
.0011,,1
.0011,,
.0011,,
.0011,,
.0011,,
.0011,,
.0011,,
.0011,1,
.0011,1,
.0011,1,
.0011,1,
.0011,1,
.0011,1,
.0011,1,1
.0011,1,1
.0011,1,1
.0011,1,1
.0011,1,1
.0011,,1
.0011,,1
.0011,,1
.0012,,1
.0012,,1
.0012,,1
.0012,,1
.0012,,
.0012,,
.0012,,
.0012,,
.0012,,
.0012,1,
.0012,1,
.0012,1,
.0012,1,
.0012,1,
.0012,1,
.0012,1,1
.0012,1,1
.0012,1,1
.0012,1,1
.0012,1,1
.0012,1,1
.0012,,1
.0012,,1
.0012,,1
.0012,,1
.0012,,1
.0012,,1
.0012,,
.0012,,
.0012,,
.0012,,
.0012,,
.0012,,
.0012,1,
.0012,1,
.0012,1,
.0012,1,
.0012,1,
.0012,1,
.0012,1,1
.0013,1,1
.0013,1,1
.0013,1,1
.0013,1,1
.0013,1,1
.0013,,1
.0013,,1
.0013,,1
.0013,,1
.0013,,1
.0013,,1
.0013,,
.0013,,
.0013,,
.0013,,
.0013,,
.0013,,
.0013,1,
.0013,1,
.0013,1,
.0013,1,
.0013,1,
.0013,1,
.0013,1,1
.0013,1,1
.0013,1,1
.0013,1,1
.0013,1,1
.0013,,1
.0013,,1
.0013,,1
.0013,,1
.0013,,1
.0013,,1
.0013,,1
.0013,,
.0013,,
.0013,,
.0013,,
.0013,,
.0014,,
.0014,1,
.0014,1,
.0014,1,
.0014,1,
.0014,1,
.0014,1,
.0014,1,1
.0014,1,1
.0014,1,1
.0014,1,1
.0014,1,1
.0014,,1
.0014,,1
.0014,,1
.0014,,1
.0014,,1
.0014,,1
.0014,,1
.0014,,
.0014,,
.0014,,
.0014,,
.0014,,
.0014,1,
.0014,1,
.0014,1,
.0014,1,
.0014,1,
.0014,1,
.0014,1,
.0014,1,1
.0014,1,1
.0014,1,1
.0014,1,1
.0014,1,1
.0014,,1
.0014,,1
.0014,,1
.0014,,1
.0015,,1
.0015,,1
.0015,,
.0015,,
.0015,,
.0015,,
.0015,,
.0015,,
.0015,1,
.0015,1,
.0015,1,
.0015,1,
.0015,1,
.0015,1,
.0015,1,1
.0015,1,1
.0015,1,1
.0015,1,1
.0015,1,1
.0015,1,1
.0015,,1
.0015,,1
.0015,,1
.0015,,1
.0015,,1
.0015,,1
.0015,,
.0015,,
.0015,,
.0015,,
.0015,,
.0015,,
.0015,1,
.0015,1,
.0015,1,
.0015,1,
.0015,1,
.0015,1,
.0015,1,1
.0015,1,1
.0016,1,1
.0016,1,1
.0016,1,1
.0016,,1
.0016,,1
.0016,,1
.0016,,1
.0016,,1
.0016,,1
.0016,,1
.0016,,
.0016,,
.0016,,
.0016,,
.0016,,
.0016,,
.0016,1,
.0016,1,
.0016,1,
.0016,1,
.0016,1,
.0016,1,
.0016,1,1
.0016,1,1
.0016,1,1
.0016,1,1
.0016,1,1
.0016,,1
.0016,,1
.0016,,1
.0016,,1
.0016,,1
.0016,,1
.0016,,1
.0016,,
.0016,,
.0016,,
.0016,,
.0016,,
.0016,1,
.0017,1,
.0017,1,
.0017,1,
.0017,1,
.0017,1,
.0017,1,
.0017,1,1
.0017,1,1
.0017,1,1
.0017,1,1
.0017,1,1
.0017,,1
.0017,,1
.0017,,1
.0017,,1
.0017,,1
.0017,,1
.0017,,
.0017,,
.0017,,
.0017,,
.0017,,
.0017,,
.0017,1,
.0017,1,
.0017,1,
.0017,1,
.0017,1,
.0017,1,
.0017,1,1
.0017,1,1
.0017,1,1
.0017,1,1
.0017,1,1
.0017,1,1
.0017,,1
.0017,,1
.0017,,1
.0017,,1
.0017,,1
.0018,,1
.0018,,
.0018,,
.0018,,
.0018,,
.0018,,
.0018,,
.0018,1,
.0018,1,
.0018,1,
.0018,1,
.0018,1,
.0018,1,
.0018,1,1
.0018,1,1
.0018,1,1
.0018,1,1
.0018,1,1
.0018,,1
.0018,,1
.0018,,1
.0018,,1
.0018,,1
.0018,,1
.0018,,1
.0018,,
.0018,,
.0018,,
.0018,,
.0018,,
.0018,,
.0018,1,
.0018,1,
.0018,1,
.0018,1,
.0018,1,
.0018,1,
.0018,1,1
.0018,1,1
.0018,1,1
.0019,1,1
.0019,1,1
.0019,,1
.0019,,1
.0019,,1
.0019,,1
.0019,,1
.0019,,1
.0019,,1
.0019,,
.0019,,
.0019,,
.0019,,
.0019,,
.0019,1,
.0019,1,
.0019,1,
.0019,1,
.0019,1,
.0019,1,
.0019,1,
.0019,1,1
.0019,1,1
.0019,1,1
.0019,1,1
.0019,1,1
.0019,,1
.0019,,1
.0019,,1
.0019,,1
.0019,,1
.0019,,1
.0019,,
.0019,,
.0019,,
.0019,,
.0019,,
.0019,,
.0019,1,
.0019,1,
.002,1,
.002,1,
.002,1,
.002,1,
.002,1,1
.002,1,1
.002,1,1
.002,1,1
.002,1,1
.002,1,1
.002,,1
.002,,1
.002,,1
.002,,1
.002,,1
.002,,1
.002,,
.002,,
.002,,
.002,,
.002,,
.002,,
.002,1,
.002,1,
.002,1,
.002,1,
.002,1,
.002,1,
.002,1,1
.002,1,1
.002,1,1
.002,1,1
.002,1,1
.002,,1
.002,,1
.002,,1
.002,,1
.002,,1
.002,,1
.002,,1
.0021,,
.0021,,
.0021,,
.0021,,
.0021,,
.0021,1,
.0021,1,
.0021,1,
.0021,1,
.0021,1,
.0021,1,
.0021,1,
.0021,1,1
.0021,1,1
.0021,1,1
.0021,1,1
.0021,1,1
.0021,,1
.0021,,1
.0021,,1
.0021,,1
.0021,,1
.0021,,1
.0021,,1
.0021,,
.0021,,
.0021,,
.0021,,
.0021,,
.0021,1,
.0021,1,
.0021,1,
.0021,1,
.0021,1,
.0021,1,
.0021,1,1
.0021,1,1
.0021,1,1
.0021,1,1
.0021,1,1
.0022,1,1
.0022,,1
.0022,,1
.0022,,1
.0022,,1
.0022,,1
.0022,,1
.0022,,
.0022,,
.0022,,
.0022,,
.0022,,
.0022,,
.0022,1,
.0022,1,
.0022,1,
.0022,1,
.0022,1,
.0022,1,
.0022,1,1
.0022,1,1
.0022,1,1
.0022,1,1
.0022,1,1
.0022,1,1
.0022,,1
.0022,,1
.0022,,1
.0022,,1
.0022,,1
.0022,,1
.0022,,
.0022,,
.0022,,
.0022,,
.0022,,
.0022,,
.0022,1,
.0022,1,
.0022,1,
.0023,1,
.0023,1,
.0023,1,
.0023,1,1
.0023,1,1
.0023,1,1
.0023,1,1
.0023,1,1
.0023,,1
.0023,,1
.0023,,1
.0023,,1
.0023,,1
.0023,,1
.0023,,1
.0023,,
.0023,,
.0023,,
.0023,,
.0023,,
.0023,1,
.0023,1,
.0023,1,
.0023,1,
.0023,1,
.0023,1,
.0023,1,
.0023,1,1
.0023,1,1
.0023,1,1
.0023,1,1
.0023,1,1
.0023,,1
.0023,,1
.0023,,1
.0023,,1
.0023,,1
.0023,,1
.0023,,
.0023,,
.0024,,
.0024,,
.0024,,
.0024,,
.0024,1,
.0024,1,
.0024,1,
.0024,1,
.0024,1,
.0024,1,
.0024,1,1
.0024,1,1
.0024,1,1
.0024,1,1
.0024,1,1
.0024,1,1
.0024,,1
.0024,,1
.0024,,1
.0024,,1
.0024,,1
.0024,,1
.0024,,
.0024,,
.0024,,
.0024,,
.0024,,
.0024,,
.0024,1,
.0024,1,
.0024,1,
.0024,1,
.0024,1,
.0024,1,
.0024,1,1
.0024,1,1
.0024,1,1
.0024,1,1
.0024,1,1
.0024,,1
.0025,,1
.0025,,1
.0025,,1
.0025,,1
.0025,,1
.0025,,1
.0025,,
.0025,,
.0025,,
.0025,,
.0025,,
.0025,1,
.0025,1,
.0025,1,
.0025,1,
.0025,1,
.0025,1,
.0025,1,
.0025,1,1
.0025,1,1
