Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
14.949,50,-.9647,-1.1998
14.982,50,-.9777,-1.2141
15.015,50,-.9984,-1.2099
15.048,50,-.9819,-1.1716
15.081,50,-.954,-1.168
15.114,50,-.979,-1.2391
15.147,50,-.9923,-1.1658
15.18,50,-.9546,-1.193
15.213,50,-.9806,-1.2216
15.246,50,-1.0331,-1.2135
15.279,50,-.9828,-1.2109
15.312,50,-.9867,-1.2034
15.345,50,-.9968,-1.2089
15.378,50,-.9984,-1.2258
15.411,50,-.9556,-1.2105
15.444,50,-.9627,-1.1645
15.477,50,-1.0043,-1.2248
15.51,50,-.99,-1.1963
15.543,50,-.9543,-1.1758
15.576,50,-.9527,-1.2251
15.609,50,-.9965,-1.2255
15.642,50,-.9702,-1.1953
15.675,50,-.9644,-1.1528
15.708,50,-.9906,-1.2277
15.741,50,-.9936,-1.2066
15.774,50,-.9485,-1.2079
15.807,50,-.9631,-1.1713
15.84,50,-.9884,-1.2397
15.873,50,-.9793,-1.1882
15.906,50,-.9819,-1.1768
15.939,50,-.9718,-1.2222
15.972,50,-1.0156,-1.2138
16.005,50,-.964,-1.2018
16.038,50,-.9134,-1.1158
16.071,50,-.9981,-1.2186
16.104,50,-.9517,-1.2125
16.137,50,-.9764,-1.1781
16.17,50,-.9563,-1.183
16.203,50,-.9939,-1.2462
16.236,50,-1.0111,-1.1849
16.269,50,-.9595,-1.2083
16.302,50,-.9968,-1.2047
16.335,50,-1.001,-1.2128
16.368,50,-.9436,-1.1382
16.401,50,-.9498,-1.2008
16.434,50,-1.0088,-1.2297
16.467,50,-.967,-1.2099
16.5,50,-.9731,-1.1998
16.533,50,-.9631,-1.1878
16.566,50,-.9893,-1.2313
16.599,50,-.9741,-1.2118
16.632,50,-.9498,-1.2206
16.665,50,-.9923,-1.2154
16.698,50,-.978,-1.2381
16.731,50,-.954,-1.2002
16.764,50,-.9118,-1.1411
16.797,50,-1.014,-1.2313
16.83,50,-.9627,-1.1933
16.863,50,-.9485,-1.2122
16.896,50,-.9601,-1.2118
16.929,50,-.9961,-1.2277
16.962,50,-.9501,-1.1813
16.995,50,-.9621,-1.2047
17.028,50,-.99,-1.2274
17.061,50,-.9948,-1.1959
17.094,50,-.9595,-1.2015
17.127,50,-.976,-1.1914
17.16,50,-.9978,-1.2397
17.193,50,-.9744,-1.1969
17.226,50,-.9507,-1.2079
17.259,50,-.9961,-1.2164
17.292,50,-.9819,-1.2478
17.325,50,-.9666,-1.2073
17.358,50,-.9546,-1.1963
17.391,50,-1.0221,-1.1911
17.424,50,-.9929,-1.2037
17.457,50,-.9903,-1.1693
17.49,50,-.9819,-1.1648
17.523,50,-1.0309,-1.1963
17.556,50,-1.002,-1.1807
17.589,50,-.9705,-1.1813
17.622,50,-.9621,-1.1058
17.655,50,-1.0153,-1.2154
17.688,50,-.9339,-1.0711
17.721,50,-.9725,-1.1577
17.754,50,-.9621,-1.1045
17.787,50,-.989,-1.1671
17.82,50,-1.0046,-1.1502
17.853,50,-.9764,-1.1356
17.886,50,-1,-1.2105
17.919,50,-.9653,-1.1551
17.952,50,-.9828,-1.182
17.985,50,-1.0101,-1.1645
18.018,50,-1.0075,-1.1895
18.051,50,-.9553,-1.2015
18.084,50,-.9475,-1.1943
18.117,50,-1.0013,-1.2336
18.15,50,-.9618,-1.2222
18.183,50,-.9511,-1.2183
18.216,50,-.9627,-1.1979
18.249,50,-.9916,-1.2459
18.282,50,-.9653,-1.2219
18.315,50,-.953,-1.2147
18.348,50,-.9663,-1.2358
18.381,50,-.9686,-1.2365
18.414,50,-.93,-1.2319
18.447,50,-.9138,-1.2319
18.48,50,-.9991,-1.2384
18.513,50,-.9501,-1.2157
18.546,50,-.9494,-1.216
18.579,50,-.9734,-1.2173
18.612,50,-.9893,-1.2585
18.645,50,-.9725,-1.1784
18.678,50,-.931,-1.2193
18.711,50,-1.0026,-1.2199
18.744,50,-.9413,-1.24
18.777,50,-.9556,-1.2066
18.81,50,-.9796,-1.1457
18.843,50,-.9663,-1.2605
18.876,50,-.988,-1.1917
18.909,50,-.9449,-1.2138
18.942,50,-1.0182,-1.18
18.975,50,-.9926,-1.2653
19.008,50,-.9696,-1.1979
19.041,50,-.9721,-1.1583
19.074,50,-.954,-1.2546
19.107,50,-.9897,-1.1891
19.14,50,-.9624,-1.1865
19.173,50,-.9559,-1.1943
19.206,50,-.9997,-1.2407
19.239,50,-.99,-1.2086
19.272,50,-.9731,-1.1976
19.305,50,-.9838,-1.2173
19.338,50,-1.0043,-1.2225
19.371,50,-.9653,-1.2089
19.404,50,-.9683,-1.1687
19.437,50,-.9845,-1.2485
19.47,50,-.9838,-1.2063
19.503,50,-.9673,-1.1904
19.536,50,-.9676,-1.171
19.569,50,-.9965,-1.2352
19.602,50,-.9952,-1.1674
19.635,50,-.9786,-1.2011
19.668,50,-1.0062,-1.2031
19.701,50,-.9981,-1.2076
19.734,50,-.9556,-1.2034
19.767,50,-.9485,-1.1749
19.8,50,-.9952,-1.2342
19.833,50,-.9994,-1.1654
19.866,50,-.942,-1.2238
19.899,50,-.9952,-1.204
19.932,50,-.9884,-1.2589
19.965,50,-.9783,-1.1885
19.998,50,-.9556,-1.1797
20.031,50,-1.0007,-1.2193
20.064,50,-.9751,-1.2238
20.097,50,-.9702,-1.1972
20.13,50,-.9799,-1.1745
20.163,50,-.9942,-1.2439
20.196,50,-.9848,-1.1982
20.229,50,-.9828,-1.1865
20.262,50,-.9734,-1.2135
20.295,50,-1.0153,-1.2342
20.328,50,-.9734,-1.2015
20.361,50,-.9601,-1.2089
20.394,50,-.9961,-1.2413
20.427,50,-.9725,-1.2368
20.46,50,-.9585,-1.1998
20.493,50,-.9705,-1.1732
20.526,50,-1.0205,-1.216
20.559,50,-.9799,-1.1856
20.592,50,-.9702,-1.1963
20.625,50,-.9699,-1.2079
20.658,50,-1.0107,-1.2235
20.691,50,-.9728,-1.1762
20.724,50,-.9452,-1.1778
20.757,50,-1.0104,-1.2306
20.79,50,-.9553,-1.2261
20.823,50,-.9981,-1.1612
20.856,50,-.9777,-1.1732
20.889,50,-.9809,-1.2485
20.922,50,-.9838,-1.1869
20.955,50,-.9715,-1.1888
20.988,50,-.9936,-1.2018
21.021,50,-.9637,-1.2362
21.054,50,-.9679,-1.182
21.087,50,-.9517,-1.194
21.12,50,-.9903,-1.2319
21.153,50,-.9861,-1.1985
21.186,50,-.9657,-1.2086
21.219,50,-.9806,-1.2287
21.252,50,-1.0253,-1.204
21.285,50,-.955,-1.2267
21.318,50,-.978,-1.1551
21.351,50,-.9783,-1.243
21.384,50,-.979,-1.2319
21.417,50,-.9546,-1.1998
21.45,50,-.9488,-1.2002
21.483,50,-1.0445,-1.1807
21.516,50,-.9598,-1.1895
21.549,50,-.978,-1.1797
21.582,50,-.9764,-1.2057
21.615,50,-1.0052,-1.2225
21.648,50,-.9507,-1.1904
21.681,50,-.9595,-1.1723
21.714,50,-.9777,-1.2469
21.747,50,-.9793,-1.2079
21.78,50,-.9676,-1.1946
21.813,50,-.9686,-1.168
21.846,50,-.9676,-1.2482
21.879,50,-.9832,-1.2008
21.912,50,-.9796,-1.1797
21.945,50,-.9764,-1.2131
21.978,50,-1.0075,-1.2245
22.011,50,-.9786,-1.1667
22.044,50,-.9559,-1.182
22.077,50,-.9884,-1.2456
22.11,50,-.9816,-1.2118
22.143,50,-.9679,-1.195
22.176,50,-.9498,-1.1972
22.209,50,-1.0127,-1.2381
22.242,50,-.9777,-1.2193
22.275,50,-.9443,-1.2251
22.308,50,-1.013,-1.1911
22.341,50,-.977,-1.2141
22.374,50,-.9663,-1.2099
22.407,50,-.9368,-1.2092
22.44,50,-.9942,-1.2378
22.473,50,-.9644,-1.2147
22.506,50,-.9455,-1.1995
22.539,50,-.967,-1.1852
22.572,50,-1.0218,-1.2131
22.605,50,-.9566,-1.2135
22.638,50,-.9644,-1.2099
22.671,50,-1.0078,-1.1998
22.704,50,-.966,-1.2284
22.737,50,-.9426,-1.2076
22.77,50,-.965,-1.1836
22.803,50,-1.0078,-1.2222
22.836,50,-.9582,-1.1937
22.869,50,-.9725,-1.1888
22.902,50,-.976,-1.2024
22.935,50,-1.0185,-1.2319
22.968,50,-.9631,-1.2044
23.001,50,-.9579,-1.1966
23.034,50,-1.0185,-1.1904
23.067,50,-.9579,-1.2277
23.1,50,-.9566,-1.2063
23.133,50,-.9537,-1.1859
23.166,50,-.9777,-1.2397
23.199,50,-.9919,-1.1989
23.232,50,-.9611,-1.1914
23.265,50,-.9923,-1.217
23.298,50,-.9864,-1.2566
23.331,50,-1.0013,-1.1771
23.364,50,-.9472,-1.1859
23.397,50,-1.0072,-1.2232
23.43,50,-.9997,-1.1765
23.463,50,-.9644,-1.1956
23.496,50,-.9556,-1.1979
23.529,50,-1.0052,-1.2589
23.562,50,-.9948,-1.1878
23.595,50,-.9465,-1.23
23.628,50,-.9906,-1.2138
23.661,50,-.9786,-1.2329
23.694,50,-.9611,-1.1839
23.727,50,-.9498,-1.2005
23.76,50,-.9854,-1.2465
23.793,50,-.9832,-1.1907
23.826,50,-.9809,-1.1781
23.859,50,-.9699,-1.204
23.892,50,-.9932,-1.2426
23.925,50,-.9783,-1.1895
23.958,50,-.9786,-1.1969
23.991,50,-.9848,-1.2238
24.024,50,-.9348,-1.1807
24.057,50,-.9747,-1.1836
24.09,50,-.9452,-1.1989
24.123,50,-1.0321,-1.1972
24.156,50,-.9601,-1.2264
24.189,50,-.9631,-1.1937
24.222,50,-.9932,-1.2079
24.255,50,-.9932,-1.2579
24.288,50,-.9718,-1.1904
24.321,50,-.9537,-1.1577
24.354,50,-.9874,-1.218
24.387,50,-.9676,-1.2267
24.42,50,-.9582,-1.1882
24.453,50,-.9598,-1.1823
24.486,50,-1.0043,-1.2206
24.519,50,-.9507,-1.2044
24.552,50,-.9809,-1.1787
24.585,50,-.9945,-1.204
24.618,50,-1.0075,-1.2284
24.651,50,-.9605,-1.1843
24.684,50,-.9449,-1.2115
24.717,50,-.9897,-1.2332
24.75,50,-.9647,-1.2183
24.783,50,-.9913,-1.181
24.816,50,-.9686,-1.194
24.849,50,-.9773,-1.254
24.882,50,-1.0033,-1.1966
24.915,50,-.952,-1.2105
24.948,50,-.9923,-1.2261
24.981,50,-.9984,-1.242
25.014,50,-.9608,-1.2066
25.047,50,-.9527,-1.2027
25.08,50,-.9738,-1.2524
25.113,50,-.9841,-1.1966
25.146,50,-.9757,-1.1891
25.179,50,-.9644,-1.1943
25.212,50,-1.0046,-1.218
25.245,50,-.9851,-1.1664
25.278,50,-.9569,-1.1937
25.311,50,-.9864,-1.2063
25.344,50,-.989,-1.204
25.377,50,-.9919,-1.1557
25.41,50,-.9465,-1.1687
25.443,50,-1.0172,-1.1538
25.476,50,-.9728,-1.182
25.509,50,-.9566,-1.0549
25.542,50,-.9514,-1.2099
25.575,50,-1.0344,-1.1165
25.608,50,-.9634,-1.1687
25.641,50,-.9994,-1.1097
25.674,50,-.9783,-1.2063
25.707,50,-1.0159,-1.1093
25.74,50,-.9001,-1.144
25.773,50,-.9828,-1.1194
25.806,50,-1.0176,-1.2047
25.839,50,-.9747,-1.1804
25.872,50,-.9936,-1.1505
25.905,50,-.9835,-1.2274
25.938,50,-.9751,-1.2595
25.971,50,-.9767,-1.2122
26.004,50,-.9634,-1.1959
26.037,50,-.9686,-1.2495
26.07,50,-.9608,-1.2524
26.103,50,-.9605,-1.2128
26.136,50,-.929,-1.2297
26.169,50,-.9916,-1.2478
26.202,50,-.9601,-1.2407
26.235,50,-.9514,-1.2144
26.268,50,-.9498,-1.2501
26.301,50,-.9978,-1.2543
26.334,50,-.9387,-1.2475
26.367,50,-.9468,-1.217
26.4,50,-.9731,-1.2679
26.433,50,-.9433,-1.2339
26.466,50,-.9524,-1.2135
26.499,50,-.9601,-1.193
26.532,50,-1,-1.2345
26.565,50,-.9537,-1.2076
26.598,50,-.9696,-1.1843
26.631,50,-.9595,-1.2313
26.664,50,-.9913,-1.2225
26.697,50,-.9446,-1.205
26.73,50,-.9611,-1.1852
26.763,50,-.9806,-1.2702
26.796,50,-.9864,-1.1736
26.829,50,-.9692,-1.1911
26.862,50,-.9696,-1.1849
26.895,50,-1.0052,-1.2297
26.928,50,-.9757,-1.1982
26.961,50,-.9592,-1.2057
26.994,50,-.9877,-1.2297
27.027,50,-.9835,-1.2173
27.06,50,-.9786,-1.183
27.093,50,-.9618,-1.1719
27.126,50,-.9864,-1.2592
27.159,50,-.9394,-1.1337
27.192,50,-.941,-1.2255
27.225,50,-.9871,-1.1904
27.258,50,-.9751,-1.2589
27.291,50,-.9841,-1.1791
27.324,50,-.9576,-1.1622
27.357,50,-.9903,-1.2261
27.39,50,-.9936,-1.1966
27.423,50,-.9627,-1.192
27.456,50,-.9734,-1.1836
27.489,50,-1.0075,-1.2316
27.522,50,-.9699,-1.2047
27.555,50,-.9598,-1.1781
27.588,50,-.9799,-1.1917
27.621,50,-.9952,-1.2316
27.654,50,-.9627,-1.1768
27.687,50,-.9543,-1.1966
27.72,50,-.9987,-1.2316
27.753,50,-.9832,-1.1878
27.786,50,-.9783,-1.206
27.819,50,-.9783,-1.1807
27.852,50,-.9871,-1.2219
27.885,50,-.9757,-1.2057
27.918,50,-.9734,-1.1616
27.951,50,-.9854,-1.2073
27.984,50,-.9663,-1.2323
28.017,50,-.952,-1.1927
28.05,50,-.9481,-1.1917
28.083,50,-.9757,-1.2397
28.116,50,-.9832,-1.2034
28.149,50,-.966,-1.1914
28.182,50,-.9663,-1.2063
28.215,50,-1.0107,-1.2303
28.248,50,-.9728,-1.1924
28.281,50,-.9614,-1.195
28.314,50,-.9832,-1.2125
28.347,50,-.9864,-1.2219
28.38,50,-.9585,-1.1856
28.413,50,-.9452,-1.1804
28.446,50,-1.0111,-1.2105
28.479,50,-.9864,-1.1979
28.512,50,-.9368,-1.1865
28.545,50,-.9841,-1.2242
28.578,50,-1.013,-1.2258
28.611,50,-.9773,-1.1995
28.644,50,-.9326,-1.1956
28.677,50,-1.0143,-1.1982
28.71,50,-.966,-1.242
28.743,50,-.9676,-1.193
28.776,50,-.9404,-1.2089
28.809,50,-1.0318,-1.2102
28.842,50,-.9796,-1.2044
28.875,50,-.9608,-1.2186
28.908,50,-.9929,-1.2037
28.941,50,-.9851,-1.2598
28.974,50,-.979,-1.194
29.007,50,-.9193,-1.2011
29.04,50,-1.0068,-1.217
29.073,50,-.9524,-1.2387
29.106,50,-.9754,-1.1706
29.139,50,-.9417,-1.2177
29.172,50,-1.0179,-1.2118
29.205,50,-.9488,-1.243
29.238,50,-.9757,-1.1849
29.271,50,-.9851,-1.2144
29.304,50,-.9923,-1.2063
29.337,50,-.9595,-1.1888
29.37,50,-.9511,-1.1813
29.403,50,-1.0279,-1.2355
29.436,50,-.9806,-1.2128
29.469,50,-.9712,-1.1917
29.502,50,-.9511,-1.2024
